Disease Name,Orphanet,ICD-10,ICD-10 Description,ICD Specificity,Prevalence Range per 100k,Prevalence Estimate per 100K,Typical Age of Onset,GIC hits via API for broader,GIC hits via API for specific,Justification
16p11.2 microdeletion syndrome (? distal or proximal),261197,Q93.5,16q22 deletion syndrome,Broad,10 to 50,20,Childhood,,,"16p11.2 microdeletion syndrome, characterized by autism spectrum traits, language delay, and obesity, is frequently overlooked due to symptom attribution to common conditions. Early identification supports developmental therapy and genetic counseling. AI-driven analysis of developmental delays and obesity patterns in medical records expedites accurate diagnosis."
Kabuki syndrome,ORPHA:2322,Q89.8,SMARCA2-related blepharophimosis-intellectual disability syndrome,Specific,0.9 to 9,3.1,Childhood,,,"Kabuki syndrome, featuring facial dysmorphism, intellectual disability, and multisystem anomalies, often remains undiagnosed due to subtle features being misattributed. Early detection allows targeted cardiac and endocrine monitoring. AI-driven NLP aggregation of characteristic clinical signs (arched eyebrows, fingertip pads, short stature) significantly accelerates syndrome recognition."
Tuberous sclerosis complex (TSC),ORPHA:805,Q85.1,Tuberous sclerosis complex,Specific,10 to 50,5,Infancy,,,"Tuberous sclerosis complex, a multisystem genetic disorder causing seizures, autism, and skin lesions, frequently undetected until severe brain or renal complications develop. Early recognition enables proactive surveillance and mTOR inhibitor treatments. AI-driven recognition of clinical patterns (infantile spasms, angiofibromas, renal lesions) rapidly facilitates accurate diagnosis."
Neurofibromatosis type 1 (NF1),ORPHA:636,Q85.01,Mosaic neurofibromatosis type 1,Specific,10 to 50,21,Childhood,,,"Neurofibromatosis type 1, a hereditary disorder with subtle neurocutaneous features (café-au-lait spots, freckling), often escapes early diagnosis. Timely recognition crucial for cognitive support and tumor surveillance. AI-driven NLP identification of characteristic skin findings and osseous lesions documented over time expedites early diagnosis, enabling proactive interventions."
Friedreich ataxia (FRDA),ORPHA:95,G11.11,Neurodevelopmental delay-hypotonia-cerebellar ataxia-cardiac conduction defects syndrome,Specific,0.9 to 9,2-4,Adolescence,,,"Friedreich ataxia, an adolescent-onset hereditary disorder often mistaken for orthopedic conditions, faces prolonged diagnostic delays. Early diagnosis enables critical cardiac management and therapeutic interventions. AI-driven analysis of clinical records (progressive gait instability, dysarthria, absent reflexes) swiftly facilitates accurate recognition, significantly improving patient outcomes."
Ataxia-telangiectasia (AT),ORPHA:100,G11.3,EBV-induced lymphoproliferative disease due to RASGRP1 deficiency,Specific,0.9 to 9,1-3,Early childhood,,,Combined immunodeficiency and neurodegeneration syndrome often misdiagnosed as separate ataxia and recurrent infections initially. Diagnosis is frequently delayed until obvious telangiectasias appear around eyes. Earlier identification enables infection prophylaxis and avoidance of radiation exposure. AI/NLP could connect the dots between cerebellar signs and frequent sinopulmonary infections in records to suggest AT sooner.
Spinal muscular atrophy (SMA),ORPHA:70,G12.9,Proximal spinal muscular atrophy,Specific,10 to 50,10-13,Infancy,,,"Progressive infantile muscle weakness can be initially misattributed to benign hypotonia, delaying diagnosis until severe weakness or respiratory failure become evident. Early genetic diagnosis (especially via newborn screening) permits life-saving therapy (SMN gene modulators). EHR data on delayed motor milestones and symmetric weakness can be analyzed by AI to flag SMA for urgent testing."
Duchenne muscular dystrophy (DMD),ORPHA:98896,G71.01,Congenital muscular dystrophy-cataract-intellectual disability syndrome,Broad,10 to 50,7,Early childhood,,,"X-linked muscular dystrophy often goes undiagnosed until 4–5 years old, as early signs (delayed walking, Gowers’ sign) are subtle or attributed to benign causes. Earlier diagnosis allows prompt corticosteroid treatment and cardiac monitoring. NLP could detect patterns like elevated CK levels, toe-walking, or frequent falls in records to alert clinicians to consider DMD sooner."
Sturge-Weber syndrome,ORPHA:3205,Q85.89,Epidermal nevus syndrome,Specific,0.9 to 9,1,Infancy,,,Rare neurocutaneous syndrome (facial port-wine stain with leptomeningeal angiomas) is sometimes missed in infants with subtle skin lesions until seizures or glaucoma present. Early diagnosis enables seizure control and eye monitoring. AI/NLP could correlate an infant’s facial hemangioma noted at birth with later onset seizures in the record to expedite recognition of Sturge-Weber.
Hereditary neuropathy with liability to pressure palsies (HNPP),ORPHA:640 ORPHA:631248 (Mitchell Syndrome),G60.8,Mitchell Syndrome,Specific,10 to 50,1-16,Adolescence,,,"Inherited peripheral neuropathy causing transient nerve palsies (e.g., wrist or foot drop) is often misdiagnosed as recurrent injuries or entrapment neuropathies without recognizing the unifying diagnosis. Delayed recognition can lead to unnecessary surgeries. Early genetic diagnosis informs management (avoidance of prolonged pressure). The pattern of repeated neuropraxia events in patient history is amenable to AI-driven detection."
Aicardi syndrome,ORPHA:50,Q04.0,Corpus callosum agenesis-macrocephaly-hypertelorism syndrome,Specific,0.9 to 9,1,Infancy,,,"X-linked dominant disorder in girls characterized by infantile spasms, agenesis of the corpus callosum, and chorioretinal lacunae. Often misdiagnosed as unspecified epilepsy or cerebral palsy until the classic eye findings and MRI changes are noted. Early diagnosis guides appropriate seizure management and developmental support. AI/NLP can link mentions of infantile spasms and corpus callosum agenesis on MRI to prompt suspicion of Aicardi syndrome."
Neuronal ceroid lipofuscinosis (Batten disease) : CLN3 is the most common ,ORPHA:314632 CLN12 disease,E75.4,CLN12 disease,Specific,0.9 to 9,4,Childhood,,,"Neurodegenerative lysosomal storage disorders that manifest with vision loss, cognitive decline, and seizures in childhood often go through a lengthy workup for epilepsy and developmental disorders before diagnosis. Early genetic confirmation is crucial for supportive care and trial eligibility. AI could detect a trajectory of developmental regression, new-onset blindness, and seizures in records to suggest an NCL disorder."
Fragile X syndrome,ORPHA:908,Q99.2,FRAXA syndrome,Specific,10 to 50,14,Childhood,,,"The most common inherited intellectual disability often goes undiagnosed in young boys because physical features are subtle early on. Without diagnosis, families miss out on tailored interventions and genetic counseling. Early recognition (via DNA testing) can improve outcomes. Behavioral and developmental clues in the record (autism spectrum behaviors, large head circumference) could be flagged by AI to suggest Fragile X testing."
Joubert syndrome,ORPHA:475,Q04.3,Subcortical band heterotopia,Specific,0.9 to 9,1,Infancy,,,"AR cerebellar malformation syndrome (molar tooth sign on MRI) with hypotonia, developmental delay, and abnormal eye movements often faces a diagnostic odyssey until neuroimaging is performed. Early diagnosis allows appropriate therapies and screening for organ involvement. AI/NLP could recognize the unique combination of neonatal apnea episodes, ataxia, and ocular motor apraxia in clinical notes, prompting an MRI that confirms Joubert syndrome."
X-linked adrenoleukodystrophy (ALD),ORPHA:43,E71.52,Spastic paraparesis-cataracts-speech delay syndrome,Broad,0.9 to 9,,Childhood,,,X-linked metabolic disorder often presenting with school difficulties or adrenal crisis before neurological decline. Early diagnosis via elevated VLCFA allows life-saving interventions (HSCT). AI/NLP could detect patterns of academic decline paired with adrenal insufficiency in records to prompt testing.
Prader-Willi Syndrome,ORPHA:739,Q87.1,DNMT3A-related microcephalic dwarfism (ORPHA:658595),Broad,10 to 50,5-10,Infancy,,,Neurogenetic disorder with neonatal hypotonia evolving into hyperphagia; diagnosis often delayed until obesity manifests. Early growth hormone therapy improves outcomes. AI/NLP could link feeding difficulties with later obesity/hypogonadism to suggest testing.
COG8-Congenital Disorders of Glycosylation,ORPHA:95428,E77.8,COG8-CDG,Specific,0.9 to 9,0.1-0.5,Infancy,,,"Multisystem disorder (neurological, hepatic, coagulation) leading to fragmented care. AI/NLP can correlate inverted nipples, strabismus, and cerebellar hypoplasia across notes to prompt CDG evaluation."
Transaldolase deficiency,ORPHA:101028,E74.8,Transaldolase deficiency,Specific,0.9 to 9,1.6-4.1,Infancy,,,"Metabolic encephalopathy causing seizures and movement disorders, frequently undiagnosed due to normal blood glucose. Early ketogenic diet improves outcomes. AI could identify postprandial symptom improvement documented in nursing notes."
Stargardt disease (juvenile macular dystrophy),ORPHA:827,H35.53,Cone rod dystrophy-short stature syndrome,Broad,10 to 50,10-12.5,Childhood/Adolescence,,,Progressive juvenile macular degeneration leads to central vision loss that can be initially misdiagnosed as refractory errors or psychogenic if the fundus appears normal early. Diagnosis often requires specialized genetic testing. Early detection informs low-vision interventions. AI might catch repeated notes of central vision blurriness and school difficulties in a child as suggestive of Stargardt for prompt retinal exam.
Usher syndrome,ORPHA:886,H35.5,Retinitis pigmentosa-deafness syndrome,Specific,10 to 50,4-17,Childhood,,,"Combined congenital hearing loss and progressive blindness (retinitis pigmentosa) are often diagnosed separately (deafness and an unrelated retinal dystrophy) without recognizing the syndrome, delaying comprehensive care. Early genetic diagnosis informs cochlear implant timing and anticipatory support. Integrating audiology and ophthalmology data via AI can link the co-occurrence of hearing aids and night blindness to flag Usher syndrome."
Leber congenital amaurosis (LCA),ORPHA:65,H35.50,Cone rod dystrophy-short stature syndrome,Broad,0.9 to 9,2-3,Infancy,,,"Severe congenital blindness due to retinal dystrophy is sometimes mistaken for cortical visual impairment or unknown blindness etiology in infancy. A molecular diagnosis (LCA) opens doors to gene therapy (for RPE65 subtype) and genetic counseling. Early signs such as nystagmus, absent visual tracking, and normal eye anatomy recorded in infancy could be aggregated by AI to prompt genetic retinal testing for LCA."
Achromatopsia (complete congenital color blindness),ORPHA:49382,H53.51,Achromatopsia,Specific,0.9 to 9,3,Infancy,,,"Autosomal recessive cone dysfunction presents with infantile nystagmus, photophobia, and poor visual acuity. It may be misdiagnosed as ocular albinism or generic low vision until an older child verbalizes color blindness. Early recognition aids visual rehabilitation and sun protection. NLP could identify the cluster of extreme light sensitivity and paradoxically normal retinal exam in infancy to suggest achromatopsia."
Primary ciliary dyskinesia (PCD),ORPHA:244,Q34.8,Other specified congenital malformations of respiratory system,Specific,10 to 50,2.5-10,Infancy/Childhood,,,Recurrent pneumonia and sinus infections are often misattributed to asthma or treated in isolation for years before recognizing the underlying ciliary disorder. Early diagnosis prevents lung damage (bronchiectasis). Characteristic triad (chronic oto-sinopulmonary infections ± situs inversus) is amenable to detection by NLP scanning clinical histories.
Cystic fibrosis (CF),ORPHA:586,E84,Cystic fibrosis,Specific,10 to 50,8,Infancy,,,"Multisystem disease (respiratory infections, failure to thrive) historically caused lengthy diagnostic journeys prior to newborn screening. Early detection (now via screening) improves pulmonary and nutritional outcomes. Where screening is absent or for atypical cases, AI/NLP can identify clues (recurrent bronchitis, malabsorption) from records."
Pediatric bronchiectasis (non-CF),ORPHA:60033,J47.9,Idiopathic bronchiectasis,Specific,10 to 50,0.2-4.2,Childhood,,,"Chronic wet cough and recurrent lung infections are often misdiagnosed as asthma or persistent bronchitis, delaying recognition of bronchiectasis. Early identification helps address underlying causes (e.g., immunodeficiency) and prevents progression. AI/NLP can flag patterns of frequent antibiotic use and chronic cough in records to prompt evaluation for bronchiectasis."
Childhood interstitial lung disease (chILD),ORPHA:264656,J84.848,Other interstitial lung diseases of childhood,Specific,0.9 to 9,16.2,Infancy/Childhood,,,"Rare diffuse lung disorders in children often present with nonspecific respiratory distress and failure to thrive, leading to protracted diagnostic odysseys. Timely diagnosis (e.g., surfactant protein dysfunction) is critical for management or transplant. Phenotypic complexity (tachypnea, hypoxemia, poor growth) in narratives can be mined by AI to suggest ILD evaluation."
Pediatric pulmonary hypertension (PAH),ORPHA:422,I27.0,Idiopathic/heritable pulmonary arterial hypertension,Specific,0.9 to 9,0.4-1.4,Childhood,,,"Often mistaken for asthma or exercise intolerance, idiopathic pulmonary hypertension in children is frequently diagnosed late, when right heart failure has set in. Early detection dramatically improves outcome with targeted therapy. Subtle signs (syncope, failure to thrive, RV strain on echo) can be compiled by AI/NLP to shorten diagnostic delay."
Surfactant Protein Deficiencies,ORPHA:100049,J84.89,Other specified interstitial pulmonary diseases,Specific,0.9 to 9,<0.1,Neonatal,,,Genetic causes of childhood interstitial lung disease often misdiagnosed as pneumonia or asthma. Early diagnosis via genetic testing guides surfactant therapy. NLP could flag persistent tachypnea unresponsive to antibiotics in neonates.
Alport syndrome,ORPHA:63,Q87.81,Lipoprotein glomerulopathy,Specific,10 to 50,1-9,Childhood,,,"Hereditary nephritis with hearing loss often goes unrecognized until adolescence, with early hematuria attributed to benign causes. Delayed diagnosis can lead to irreversible kidney damage. Early detection allows ACE inhibitor therapy to slow progression. The combination of pediatric hematuria, progressive proteinuria, and sensorineural hearing loss documented in charts can be mined by AI to suggest Alport syndrome."
Autosomal recessive polycystic kidney disease (ARPKD),ORPHA:731,Q61.1,Autosomal recessive polycystic kidney disease,Specific,0.9 to 9,5,Neonatal/Infancy,,,"Infantile polycystic kidney disease often presents with enlarged kidneys and congenital hepatic fibrosis. Mild cases can be missed in infancy and only diagnosed when hypertension or renal failure appears in childhood. Early recognition allows supportive care and transplant planning. AI could flag neonatal signs (oligohydramnios, pulmonary hypoplasia) and later failure to thrive to prompt ARPKD testing."
Nephronophthisis (juvenile),ORPHA:34149,Q61.5,Autosomal dominant tubulointerstitial kidney disease,Specific,0.9 to 9,1-2,Childhood,,,"Cystic tubulointerstitial kidney disease causing progressive renal failure in adolescence is often diagnosed late because early symptoms (polyuria, growth retardation) are nonspecific and overlooked. Early identification can inform renal transplant timing. Clues like unexplained anemia, growth failure, and enuresis in medical records could be aggregated by AI to raise suspicion for nephronophthisis."
Gitelman syndrome,ORPHA:358,N15.8,Transient pseudohypoaldosteronism,Specific,0.9 to 9,3-25,Adolescence,,,"Inherited salt-wasting tubulopathy often misdiagnosed as an eating disorder or benign electrolyte variation due to chronic hypokalemia and fatigue. Diagnosis is frequently delayed until severe muscle weakness or arrhythmia occur. Early detection allows salt/Mg supplementation and alleviation of symptoms. An AI parsing repeated labs showing hypokalemia, hypomagnesemia, and metabolic alkalosis could prompt consideration of Gitelman syndrome."
Cystinuria,ORPHA:214,E72.01,Cystinuria,Specific,10 to 50,1-40,Adolescence,,,"Hereditary stone disease with recurrent kidney stones from youth is often managed symptomatically without identifying the underlying amino acid transport defect. Delayed diagnosis misses the opportunity for preventive therapy (hydration, thiol drugs). NLP could note the pattern of recurring cystine kidney stones or calculi analysis results in the chart to confirm cystinuria as the cause."
Systemic-onset juvenile idiopathic arthritis (Still's disease),ORPHA:85414,M08.20,Systemic-onset juvenile idiopathic arthritis,Specific,0.9 to 9,4,Childhood,,,"Autoinflammatory disease with daily spiking fevers, transient rash, and arthritis often undergoes a long diagnostic odyssey, initially treated as recurrent infections or malignancy due to systemic inflammation. Delayed proper treatment can lead to macrophage activation syndrome and joint damage. AI/NLP could identify the recurrent quotidian fever pattern with evanescent rash in medical logs to differentiate sJIA from infections and prompt rheumatology referral."
Opsoclonus-myoclonus syndrome,ORPHA:1183,G25.3,Myoclonus,Broad,unknown,unknown,Childhood,,,"OMS is characterized by opsoclonus (rapid, multi-directional, conjugate eye movements), myoclonic jerks, ataxia, irritability and sleep disturbances. The clinical course may be monophasic or chronic relapsing. OMS is associated in approximately 50% of pediatric cases with a neuroblastoma (see this term); this tumour is usually (but not always) of low grade with a good oncological outcome."
Neurodegeneration-spasticity-cerebellar atrophy-cortical visual impairment syndrome (NESCAV syndrome),ORPHA:662367,G93.8,Other specified disorders of brain,Broad,unknown,unknown,Neonatal/Infancy,,,
Hereditary hemorrhagic telangiectasia,ORPHA:774,I78.0,,,10 to 50,,Childhood-adulthood,,,
Loeys-Dietz syndrome,ORPHA:60030,Q87.4,,,2 to 3,,infancy-adulthood,,,
Pseudohypoparathyroidism type 1A (albright hereditary osteodystrophy),ORPHA:79443,E20.1,,,1 to 5,,childhood,,,
McCune Albright syndrome (fibrous dysplasia),ORPHA:562,Q78.1,,,0.1 to 1,,childhood,,,
FLNA-related X-linked myxomatous valvular dysplasia,ORPHA:555877,Q23.8,,,<0.1,,neonatal,,,
Melnick-Needles osteodysplasty,ORPHA:2484,Q77.8,,,<0.1,,childhood,,,
Otopalataldigital syndrome type 1,ORPHA:90650,Q87.0,,,<0.1,,prenatal/infancy/neonatal,,,
Otopalataldigital syndrome type 2,ORPHA:90652,Q87.0,,,<0.1,,neonatal,,,
Bannayan-Riley-Ruvalcaba syndrome,ORPHA:109,Q87.8,,,,,infancy/childhood,,,
Cowden syndrome/multiple hamartoma syndrome,ORPHA:201,Q85.89,,,,,childhood/adolescence/adult,,,
Steinert myotonic dystrophy,"ORPHA: 589821, 589824, 589827",G71.1,,,1 to 10 in pediatric ages,,congenital/infancy/childhood/adolescence,,,
Smith-Magenis syndrome (17p11.2 microdeletion syndrome),ORPHA: 819,Q93.5,,,1 to 9,,infancy-adulthood,,,"SMS is a neurodevelopmental disorder characterized by cognitive impairment of variable severity, behavioral abnormalities, and sleep disturbance. Patients present with distinctive physical features and a wide range of malformations. A significant diagnostic odyssey occurs for many patients and early diagnosis leads to specific management recommendations."
Barth syndrome (3-methylglutaconic acidurea type 2),ORPHA:111,E71.1,,,0.1 to 0.9,,childhood,,,"An inborn error of phospholipid metabolism that has dilated cardiomyopathy, skeletal myopathy, neutropenia, growth delay and organic aciduria as features. Acute metabolic crises, cardiac decompensation, or severe infection due to neutropenia results in significant morbidity and mortality without an early diagnosis."
Alport syndrome,ORPHA:63,Q87.8,,,2 to 20,,childhood/adolescence,,,Renal disease characterized by glomerular nephropathy progressing to end-stage renal disease. Frequently associated with sensorineural hearing loss and occasionally with ocular anomalies. Hematuria is a non-specific biomarker. Presentation is variable in age of onset and initial symptoms and there are multiple inheritance modes.
Rubinstein-Taybi syndrome,ORPHA:783,Q87.2,,,1 to 9,,neonatal/infancy/childhood ,,,RTS is characterized by short stature and intellectual disability. Microcephaly and dysmorphic features are common but frequently unrecognized. Congenital anomalies such as genitourinary and heart defects are variable. Early diagnosis decreases the diagnostic odyssey and leads to specific interventions and antincipatory guidance such as for intellectual disability and behavioral characteristics.
